date,home,away,elo_p_home,mkt_p_home,gap,outcome
2021-05-11,Man United,Leicester,0.6149057489148538,0.24799745515213248,0.3669082937627214,A
2019-08-31,Crystal Palace,Aston Villa,0.7384158845860664,0.42570479887424234,0.3127110857118241,H
2021-02-17,Burnley,Fulham,0.6205393023184209,0.32104063296231733,0.2994986693561036,D
2020-12-19,Newcastle,Fulham,0.6343677844258984,0.33853676742211036,0.295831017003788,D
2019-12-04,Liverpool,Everton,0.8639421529208288,0.5879407015397844,0.27600145138104437,H
2021-01-27,Burnley,Aston Villa,0.48314252924398005,0.2094687751016053,0.2736737541423747,H
2021-02-28,Crystal Palace,Fulham,0.548993083458875,0.2766180689564088,0.2723750145024662,D
2020-12-12,Wolves,Aston Villa,0.6453655779420928,0.3775439747614815,0.2678216031806113,A
2024-05-19,Crystal Palace,Aston Villa,0.33247317514645525,0.5959665898765782,0.263493414730123,H
2020-06-24,Newcastle,Aston Villa,0.6643646565444155,0.4077056422300509,0.25665901431436455,D
2021-05-09,Wolves,Brighton,0.4862563699686998,0.23115501775526343,0.2551013522134364,H
2023-08-25,Chelsea,Luton,0.5115509552454814,0.7664009809932557,0.25485002574777427,H
2021-01-30,Southampton,Aston Villa,0.5407722554886287,0.29011229878022743,0.2506599567084013,A
2023-12-03,Chelsea,Brighton,0.3621616654735034,0.6058918182943434,0.24373015282083993,H
2021-02-14,Everton,Fulham,0.7229641186291638,0.48157034318914216,0.2413937754400216,A
2023-11-06,Tottenham,Chelsea,0.6505522835074149,0.4099511428090077,0.2406011406984072,A
2020-10-18,Sheffield United,Fulham,0.6430866914899667,0.4083051149527714,0.23478157653719528,D
2020-07-26,Everton,Bournemouth,0.6486014752984548,0.4149651245975916,0.2336363507008632,A
2020-06-25,Burnley,Watford,0.49545614756119416,0.2626032346868548,0.23285291287433935,H
2023-12-06,Man United,Chelsea,0.5694212535485954,0.3400391149578777,0.2293821385907177,H
