team,n_matches,n_disagree,disagree_rate,reliable
Wolves,249,45,0.18072289156626506,True
Everton,249,44,0.17670682730923695,True
Burnley,173,29,0.1676300578034682,True
West Ham,249,40,0.1606425702811245,True
Aston Villa,249,40,0.1606425702811245,True
West Brom,38,6,0.15789473684210525,True
Brighton,249,39,0.1566265060240964,True
Fulham,173,27,0.15606936416184972,True
Crystal Palace,249,37,0.14859437751004015,True
Bournemouth,173,25,0.14450867052023122,True
Leeds,135,19,0.14074074074074075,True
Nott'm Forest,135,19,0.14074074074074075,True
Luton,38,5,0.13157894736842105,True
Tottenham,249,31,0.12449799196787148,True
Sheffield United,114,14,0.12280701754385964,True
Brentford,173,21,0.12138728323699421,True
Southampton,190,23,0.12105263157894737,True
Man United,249,30,0.12048192771084337,True
Watford,76,9,0.11842105263157894,True
Newcastle,249,29,0.11646586345381527,True
Leicester,190,22,0.11578947368421053,True
Chelsea,249,28,0.11244979919678715,True
Ipswich,38,4,0.10526315789473684,True
Arsenal,249,16,0.0642570281124498,True
Liverpool,249,14,0.05622489959839357,True
Norwich,76,4,0.05263157894736842,True
Sunderland,21,1,0.047619047619047616,True
Man City,249,7,0.028112449799196786,True
